Title,Link,Description,Date
Israeli troops encircle Gaza City and expected to enter in force within 48 hours,https://www.theguardian.com/world/2023/nov/06/israel-hamas-war-blinken-turkey-gaza-us-submarine-ankara-talks-hakan-fidan,"<p>Gaza severed into two parts, says Israel, as US sends missile-carrying submarine to Middle East</p><ul><li><a href=""https://www.theguardian.com/world/live/2023/nov/06/israel-hamas-war-live-updates-jordan-airdrops-medical-supplies-gaza-blinken-turkey-push-contain-conflict#top-of-blog"">Israel-Hamas war: latest updates</a></li></ul><p>The Israeli military says it has completely encircled Gaza City after over a week of heavy fighting, in effect severing the territory into two.</p><p>Moving under the cover of intensive aerial bombardments on Sunday night from air, land and sea – accompanied by a communications blackout – Israeli troops moved to surround the city as Hamas militants were reported to have pulled back to prepared positions deeper in the dense urban sprawl.</p> <a href=""https://www.theguardian.com/world/2023/nov/06/israel-hamas-war-blinken-turkey-gaza-us-submarine-ankara-talks-hakan-fidan"">Continue reading...</a>",2023-11-06 12:51:49
"Winter to bring best northern lights displays for 20 years, scientists say",https://www.theguardian.com/world/2023/nov/06/winter-best-northern-lights-displays-for-20-years-scientists-say,"<p>The sun is expected to reach ‘solar maximum’ between January and October 2024, bringing spectacular aurora displays</p><p>This winter is likely to be a blockbuster year for seeing the Northern Lights as scientists predict the best displays in 20 years, which have already been seen in southern England.</p><p>The sun is predicted to reach the peak of its approximately 11-year activity cycle – known as “solar maximum” – between January and October 2024, bringing with it spectacular aurora displays both in lower polar regions and further south in Europe.</p> <a href=""https://www.theguardian.com/world/2023/nov/06/winter-best-northern-lights-displays-for-20-years-scientists-say"">Continue reading...</a>",2023-11-06 12:49:25
"Gaza diary part 16: ‘I want to die peacefully, at a very old age, having achieved all my dreams’",https://www.theguardian.com/global-development/2023/nov/06/gaza-diary-part-16-i-want-to-die-peacefully-at-a-very-old-age-having-achieved-all-my-dreams,"<p>Ziad, a 35-year-old Palestinian, recounts two days in Gaza: the luck of those with dual nationality; the strain of comforting people outside Gaza; and saving another cat</p><p><strong>8am </strong>I fell in love with the song Killing Me Softly With His Song in my early 20s. I realised back then that my mother, too, had fallen in love with the same song at almost the same age. The version I am listening to is one of many covers of the original. My mother, may she rest in peace, always shared with me her love for music, art and theatre. We also loved Abba.</p> <a href=""https://www.theguardian.com/global-development/2023/nov/06/gaza-diary-part-16-i-want-to-die-peacefully-at-a-very-old-age-having-achieved-all-my-dreams"">Continue reading...</a>",2023-11-06 12:46:03
‘When is it too early to teach your kids about genocide?’ Inside the Imperial War Museum’s harrowing new galleries,https://www.theguardian.com/artanddesign/2023/nov/06/blavatkik-kids-genocide-imperial-war-museums-harrowing-new-galleries,"<p>From the Somme to Afghanistan and Iraq, 500 works capture a century of warfare at the museum’s new Blavatnik art, film and photography galleries. You could spend days in its screening rooms alone, says our writer</p><p>During the first world war, 124,702 British soldiers were victims of gas attacks. They suffered blisters, burns or temporary blindness and 2,308 of them died. In July 1918, the Ministry of Information sent American society portraitist John Singer Sargent to the front. There he witnessed the aftermath of mustard gas attacks and was inspired to make a six-metre wide tableau called Gassed depicting a procession of wounded men stumbling, blindfolded, towards a dressing station, while in the foreground more men lie dead and dying, their bodies entangled.</p><p>Recently cleaned to reveal a rosy evening light (and even Tommies playing an incongruous football match in the painting’s background), Gassed is the centrepiece of the Imperial War Museum’s new Blavatnik Art, Film and Photography Galleries in London. This permanent exhibition features about 500 works tracing the history of war art from July 1916 when Muirhead Bone became the first official artist making etchings in the Somme’s killing fields, to the 21st century and works such as Paul Seawright’s 2002 photograph Mounds, which unwittingly echoes Bone’s work by depicting an Afghan landscape bombed senseless, unpeopled and riddled with mines.</p> <a href=""https://www.theguardian.com/artanddesign/2023/nov/06/blavatkik-kids-genocide-imperial-war-museums-harrowing-new-galleries"">Continue reading...</a>",2023-11-06 12:35:35
The big idea: why we should spend more time talking to strangers,https://www.theguardian.com/books/2023/nov/06/the-big-idea-why-we-should-spend-more-time-talking-to-strangers,"<p>We focus on friendships, but encounters with those we hardly know are vital too</p><p>The stranger struck up conversation on a delayed flight between Florida and New York. We were both struggling to entertain our toddlers, and we commiserated awhile. After the children fell asleep, he told me he’d recently left the Mormon church. He said he missed the community and the certainty he once felt. He was still figuring out how to raise a child without faith: for example, would I say there was a heaven if my daughter asked, even if I didn’t fully believe it?</p><p>Maybe it feels more natural to speak intimately with a stranger on a flight, when you are both uprooted and disoriented, not quite sure if it’s night or day or where the sun should hang in the sky. Maybe it’s more natural for your mind to turn to existential questions when you’re hurtling through the atmosphere at great speed, held up by forces you can’t fully understand. For a few hours we talked about fear and loss, and I later thought that while this kind of intensity is discouraged, maybe such subjects are actually best explored with someone completely unfamiliar to you, who sees the world quite differently.</p> <a href=""https://www.theguardian.com/books/2023/nov/06/the-big-idea-why-we-should-spend-more-time-talking-to-strangers"">Continue reading...</a>",2023-11-06 12:30:37
Global health and environmental costs of food industry are $10tn a year – UN,https://www.theguardian.com/global-development/2023/nov/06/global-health-disease-environmental-costs-food-industry-10tn-dollars-a-year-un-fao,"<p>‘Price tag’ of non-communicable diseases, malnutrition, poverty and harm to planet is 10% of global GDP, says UN food agency</p><p>The health and environmental damage caused by food production costs the world $10tn (£8tn) a year, or 10% of global GDP, the UN said.</p><p>Conditions such as diabetes and heart disease, the consequence of poor diets, account for $7.3tn, according to the Food and Agriculture Organization (FAO), which has put a “price tag” on the hidden costs of the global food industry in its annual report, published on Monday.</p> <a href=""https://www.theguardian.com/global-development/2023/nov/06/global-health-disease-environmental-costs-food-industry-10tn-dollars-a-year-un-fao"">Continue reading...</a>",2023-11-06 12:06:27
Why I’m campaigning for the £1 cuppa to be available all around Britain | Luke Turner,https://www.theguardian.com/commentisfree/2023/nov/06/tea-prices-museum-cafe-britain-biscuits-high-street-chains,"<p>I’ve done a tea-and-biscuit survey of the country’s cultural institutions and high-street chains – and I’m afraid we’re being taken for mugs</p><p>It’s odd to be mocked by baked goods, but that’s exactly what happened recently when I took a break from working in the reading rooms at the British Library for an afternoon pick-me-up of sugar and caffeine. There, peering up from the counter of the library cafe, was a beige doubledecker biscuit with marzipan teeth and goggly eyes called a “monster cookie – raawrr”. It was priced at £5.95. A simple cup of tea to go with the snack cost £2.25, meaning that for both, you’d be pushing a tenner. That grinning biscuit was taking the piss.</p><p>These extortionate prices are not unique to the British Library. I took my toddler to the National Maritime Museum, and ended up spending £7.80 on tea and a bit of cake to take the edge off being up since 6am. Cakes are luxuries we can do without, but the prices of hot drinks in our leading cultural institutions seem particularly outrageous, having rocketed up (like everything else) in the past year or so. The British Library even looks reasonable compared with most, and it’s not just a London thing, either – the Museum of Liverpool charges £2.60 for a tea; it’s £2.50 at the Imperial War Museum North, and at the National Museum of Scotland, £2.70.</p> <a href=""https://www.theguardian.com/commentisfree/2023/nov/06/tea-prices-museum-cafe-britain-biscuits-high-street-chains"">Continue reading...</a>",2023-11-06 12:00:37
Fermented coconut and cashew fruit: the ancient spirits fuelling India’s craft alcohol boom,https://www.theguardian.com/world/2023/nov/06/fermented-coconut-cashew-fruit-ancient-spirits-india-craft-alcohol-boom-feni,"<p>Recently, homegrown spirits have sprung up in abundance, changing the palates of young Indian drinkers and garnering international acclaim</p><p>Sheltered in the shade of a mango tree entwined with peppercorn vines, a vast clay pot sits on top of a fire, its lid sealed tight with mud. Distilling within is India’s oldest alcoholic spirit, said to date back almost 500 years.</p><p>This spirit, known as feni, was the liquor that lubricated life here in India’s small, verdant state of Goa for centuries; sipped gently in the evenings, uproariously knocked back at festivals, and given as a medicinal pick-me-up for aches and fevers. While a potent, locally brewed jar – made either from coconut wine freshly tapped from palm trees<strong> </strong>or fermented cashew fruit – could be found in almost every Goan home, it was never drunk outside state borders.</p> <a href=""https://www.theguardian.com/world/2023/nov/06/fermented-coconut-cashew-fruit-ancient-spirits-india-craft-alcohol-boom-feni"">Continue reading...</a>",2023-11-06 12:00:36
The Lazarus Project creator Joe Barton: ‘TV writers are like antelopes walking through a pack of lions’,https://www.theguardian.com/tv-and-radio/2023/nov/06/the-lazarus-project-joe-barton-interview,"<p>He’s the UK’s most in-demand screenwriter but he’s also seen series cancelled and been dumped from shows without explanation. He talks about why he’s wary of Hollywood, and the surprise return of his time-bending drama</p><p>When Joe Barton was at junior school, he and his classmates were set a project. After being put into groups and given camcorders, they were instructed to make an advert for toothpaste. “Everyone wanted to be in the advert, whereas I wanted to film it,” says Barton, who at the time was gorging on behind-the-scenes footage of the Indiana Jones films. “All I could think to do was zoom in and out, and I thought: ‘This is great, I’m really doing it, I’m making a film.’ Then I was ill and off school for a week, and when I got back they’d refilmed it. So there I was, from day one, being fucking cancelled.”</p><p>As a screenwriter, the 38-year-old Barton is now flying high, but cancellation remains “a theme”. Despite glowing reviews, his 2019 crime thriller <a href=""https://www.theguardian.com/tv-and-radio/2019/oct/17/giri-haji-review-kelly-macdonald-bbc-netflix"" title="""">Giri/Haji</a> and last year’s teen witch series <a href=""https://www.theguardian.com/tv-and-radio/2022/oct/28/the-bastard-son-the-devil-himself-review-gory-deaths-have-rarely-looked-so-beautiful"" title="""">The Bastard Son &amp; the Devil Himself</a> were both terminated after one series. Then there was his firing from HBO’s TV spin-off of The Batman, mention of which causes his head to drop into his hands. All of which makes the success of his time-travel drama <a href=""https://www.theguardian.com/tv-and-radio/2022/jun/16/the-lazarus-project-review-paapa-essiedu-thrills-in-fun-stylish-brain-scrambler"" title="""">The Lazarus Project</a>, which returns for a second series this month, that much sweeter.</p> <a href=""https://www.theguardian.com/tv-and-radio/2023/nov/06/the-lazarus-project-joe-barton-interview"">Continue reading...</a>",2023-11-06 12:00:36
‘Everything is parched’: Amazon struggles with drought amid deforestation,https://www.theguardian.com/world/2023/nov/06/aggressive-deforestation-has-led-to-one-of-the-amazons-worst-droughts,"<p>By now, the rivers should be full. But large-scale cattle farming, the climate crisis and weather events like El Niño mean Brazil is near the point of no return</p><p>Cows, dust and smoke. That was what greeted me on my return home to Altamira, after several weeks on the road. An unusually fierce dry season has taken a horrific toll on the Amazonian landscape, swathes of which are already denuded by cattle ranches. Together, they threaten the integrity of the world’s biggest tropical forest.</p><p>I will get to the science behind that horrifying statement shortly. But first, let me describe what is happening on the ground, in and around my home in Altamira, in Pará state, northern Brazil.</p> <a href=""https://www.theguardian.com/world/2023/nov/06/aggressive-deforestation-has-led-to-one-of-the-amazons-worst-droughts"">Continue reading...</a>",2023-11-06 11:35:58
"The pet I’ll never forget: Ella the puppy threw up on me, snubbed me and after 10 years decided to love me",https://www.theguardian.com/lifeandstyle/2023/nov/06/the-pet-ill-never-forget-ella-the-puppy-threw-up-on-me-snubbed-me-and-after-10-years-decided-to-love-me,"<p>Mum, Dad, my brother Michael: everyone in the family got more affection from our ridgeback-staffie cross. And guess whose bed she used to poo on</p><p>I think the tone was set when Ella threw up over me on the way back from the Dogs Trust. She was three months old, rolling around on the back seat between me and my twin brother, Michael (we’d just turned seven), and wasn’t enjoying her first trip in a car. She could have been sick anywhere – over the seat, over the floor – but for some reason she decided to climb on to me first.</p><p>It was the start of a beautiful but strangely one-sided friendship. Ella, a ridgeback-staffie cross, was the perfect dog: playful, energetic, naughty and tolerant. She would let us poke and prod her without complaint, turn her ears inside-out or dress her up in T-shirts or the thick woollen poncho my Greek Cypriot grandma knitted her for the British winter. And she was endlessly loving, at least to the other members of the family. Me? Too often it was as if I didn’t exist. If Michael and I were sitting on the sofa, she’d bound up to him. If I came home after a day out with my dad, he was the one she’d jump at. If I tried to take her for a walk by myself, she’d drag her feet and insist that I fetch my brother.</p> <a href=""https://www.theguardian.com/lifeandstyle/2023/nov/06/the-pet-ill-never-forget-ella-the-puppy-threw-up-on-me-snubbed-me-and-after-10-years-decided-to-love-me"">Continue reading...</a>",2023-11-06 11:00:35
Abortion providers brace themselves ahead of Ohio vote: ‘It’s just terrifying’,https://www.theguardian.com/world/2023/nov/06/ohio-abortion-vote-issue-1-six-week-ban-clinics,"<p>If Issue 1 fails, supporters of the proposal believe the state’s supreme court will reinstate a six-week abortion ban</p><p>When Annie Boyle picked up the phone, the woman at the other end of the line wanted to know: what’s going on with Ohio’s abortion referendum?</p><p>As a patient advocate at Preterm, a sprawling abortion clinic in Cleveland, Ohio, Boyle is used to confusion over Ohio’s six-week abortion ban, which took effect shortly after the US supreme court overturned Roe v Wade, but is now on hold. “I’m old, I don’t need an abortion,” the woman on the phone said, but she sounded disturbed by the ban.</p> <a href=""https://www.theguardian.com/world/2023/nov/06/ohio-abortion-vote-issue-1-six-week-ban-clinics"">Continue reading...</a>",2023-11-06 11:00:35
Rachel Roddy’s pasta with green beans and walnut sauce | A kitchen in Rome,https://www.theguardian.com/food/2023/nov/06/pasta-green-beans-walnut-sauce-recipe-rachel-roddy,"<p>A Ligurian salsa and a nutty fairy tale to accompany a rich pasta dish</p><p>There once was a king who had three sons of marriageable age. This is how a folktale from Piedmont, told by <a href=""https://www.theguardian.com/books/italocalvino"">Italo Calvino</a>, begins. There was rivalry, so the king decided to sort out their inheritance with three stones. One after the other, the kids would use a slingshot to send their stone as far as they possibly could. Where the stone fell, they would find a partner.</p><p>The first stone, of the eldest son, landed on the roof of a bakery, and the second on the house of a weaver, while the stone of the youngest’s landed in a ditch. Each grabbing a ring, the three boys charged off to meet their match. Arriving at the bakery, the first met a girl as beautiful as a just-baked <a href=""https://www.theguardian.com/lifeandstyle/2018/may/29/rachel-roddy-authentic-italian-recipe-focaccia"">focaccia</a>. At the weaver’s house, meanwhile, there was a young woman with hair like silken thread. And, from the ditch, emerged a frog.</p> <a href=""https://www.theguardian.com/food/2023/nov/06/pasta-green-beans-walnut-sauce-recipe-rachel-roddy"">Continue reading...</a>",2023-11-06 11:00:35
Love Actually at 20: Richard Curtis’s imperfect yet irresistible Christmas romcom,https://www.theguardian.com/film/2023/nov/06/love-actually-richard-curtis-hugh-grant,"<p>Far from unimpeachable, with problems ranging from a lack of diversity to an overdose of saccharine, the festive ensemble comedy is an annual staple nonetheless</p><p>Of the many gestures of love, small and, more frequently, supersized, in Love Actually, the one that always stood out to me is of the former kind. Hugh Grant’s prime minister sits in a grand yet cosy drawing room at No 10, alone on Christmas Eve, rifling through holiday cards in his red despatch box. He comes across one from Natalie (Martine McCutcheon), the tea lady he’s been pining for since their first, expletive-filled meeting. “If you can’t say it at Christmas, when can you, eh?” she writes. “I’m actually yours.”</p><p>This statement of devotion, lovely in its smallness, precipitates Grant’s more memorable response, knocking on every door on her street in “the dodgy end” of Wandsworth until he finds her. It’s Christmas, the movie trumpets loopily: time to tell someone you love them!</p> <a href=""https://www.theguardian.com/film/2023/nov/06/love-actually-richard-curtis-hugh-grant"">Continue reading...</a>",2023-11-06 11:00:35
Showdown at the Grand review – zombie-mashing Dolph Lundgren in ode to 80s action flicks,https://www.theguardian.com/film/2023/nov/06/showdown-at-the-grand-review-zombie-mashing-dolph-lundgren-in-ode-to-80s-action-flicks,"<p>Terrence Howard is terrific as a cinema owner who hires his ageing movie idol to help him battle corporate goons</p><p>‘There are a lot of things to dislike in this world. Nazis. Modern art. Vegans. But above all I despise vampires.” That’s Dolph Lundgren in a growl, wearing a ludicrous wig, and karate-kicking his way through a horde of undead. Lundgren plays ageing action star Claude Luc Hallyday, a veteran of trashy films with trashier titles (Moses v the Nazis!). It’s a supporting role but Lundgren is the main attraction in Orson Oblowitz’s misty-eyed, sentimental, sometimes silly love letter to cinema. The setting is a gorgeous movie palace where the owner has a thing for tough guy Hallyday, watching his 80s action flicks on repeat – funny pastiche clips shot here as little movies-in-a-movie.</p><p>To be fair, Terrence Howard is also pretty terrific as cinema proprietor George, whose family have owned the Grand since it opened in the 1920s. George grew up in the cinema, and Howard plays him as a man who’s never fully signed up to the outside world, dressed like a cowboy in a long leather duster coat, and speaking in a faintly grandiose way like a character from a classic movie. His problems begin when a corporate developer Lynn (Amanda Righetti) sets her sights on his cinema, planning to bulldoze it to make way for gleaming luxury apartments.</p> <a href=""https://www.theguardian.com/film/2023/nov/06/showdown-at-the-grand-review-zombie-mashing-dolph-lundgren-in-ode-to-80s-action-flicks"">Continue reading...</a>",2023-11-06 10:30:34
